Author	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
John Jansen van Galen	https://www.dbnl.org/auteurs/auteur.php?id=jans020	jans020	John	Jansen van Galen	John Jansen van Galen	1940-07-15	Velp	Nederland				male	redacteur/journalist	20e/21e Eeuw		secundair/nonfictie		redacteur/journalist	2.0/2.0	2.0
Mirjam Schöttelndreier	https://www.dbnl.org/auteurs/auteur.php?id=scho537	scho537	Mirjam	Schöttelndreier	Mirjam Schöttelndreier	1959-xx-xx						female		Twintigste Eeuw		nonfictie				
Thijs Wöltgens	https://www.dbnl.org/auteurs/auteur.php?id=wolt013	wolt013	Mathies Andrea Maria	Wöltgens	Thijs Wöltgens	1943-11-30	Kerkrade	Nederland	2008-05-07	Kerkrade	Nederland	male		20e/21e Eeuw		nonfictie				
Ido de Haan	https://www.dbnl.org/auteurs/auteur.php?id=haan074	haan074	Ido	de Haan	Ido de Haan	1963-xx-xx						male		Twintigste Eeuw		nonfictie				
Stella Braam	https://www.dbnl.org/auteurs/auteur.php?id=braa064	braa064	Stella	Braam	Stella Braam	1962-xx-xx	Haarlem	Nederland				female	redacteur/journalist	Twintigste Eeuw		nonfictie		redacteur/journalist	2.0/2.0	2.0
Irene Costera Meijer	https://www.dbnl.org/auteurs/auteur.php?id=cost073	cost073	Irene	Costera Meijer	Irene Costera Meijer	1956-xx-xx	Groningen	Nederland				female	journalist/leraar/redacteur/hoogleraar/docent	Twintigste Eeuw		nonfictie		redacteur/hoogleraar/leraar/docent/journalist	2.0/2.0/2.0/2.0/2.0	2.0
Jos de Putter	https://www.dbnl.org/auteurs/auteur.php?id=putt040	putt040	Jos	de Putter	Jos de Putter	1959-xx-xx						male		Twintigste Eeuw		nonfictie				
Arnon Grunberg	https://www.dbnl.org/auteurs/auteur.php?id=grun001	grun001	Arnon Yasha Yves	Grunberg	Arnon Grunberg/Marek van der Jagt	1971-02-22	Amsterdam	Nederland				male		20e/21e Eeuw	nl					
Helga Ruebsamen	https://www.dbnl.org/auteurs/auteur.php?id=rueb001	rueb001	Helga	Ruebsamen	Helga Ruebsamen	1934-09-04	Batavia	Indonesië	2016-11-08	Den Haag	Nederland	female	redacteur/journalist	20e/21e Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Michael Frijda	https://www.dbnl.org/auteurs/auteur.php?id=frij012	frij012	Michael	Frijda	Michael Frijda	1961-09-01	Amsterdam	Nederland				male		20e/21e Eeuw						
Maarten Elzinga	https://www.dbnl.org/auteurs/auteur.php?id=elzi005	elzi005	Maarten	Elzinga	Maarten Elzinga	1957-xx-xx						male	vertaler	20e/21e Eeuw		secundair		vertaler	4.0	4.0
Kees Bokweide	https://www.dbnl.org/auteurs/auteur.php?id=bokw001	bokw001	Kees	Bokweide	Kees Bokweide	1956-xx-xx						male	apotheker/medicus	20e/21e Eeuw		secundair		medicus/apotheker	2.0/2.0	2.0
Marjoleine de Vos	https://www.dbnl.org/auteurs/auteur.php?id=vos_021	vos_021	Marjoleine	de Vos	Marjoleine de Vos	1957-xx-xx	Oosterbeek	Nederland				female		20e/21e Eeuw	nl					
Chris Lorenz	https://www.dbnl.org/auteurs/auteur.php?id=lore012	lore012	Christoff Frederik Gijsbert	Lorenz	Chris Lorenz	1950-xx-xx						male	archeoloog/historicus	20e/21e Eeuw		nonfictie		antropoloog/oudheidkundige	2.0/2.0	2.0
Jos van der Lans	https://www.dbnl.org/auteurs/auteur.php?id=lans045	lans045	Jos	van der Lans	Jos van der Lans	1954-xx-xx						male		20e/21e Eeuw		nonfictie				
Jeroen Onstenk	https://www.dbnl.org/auteurs/auteur.php?id=onst005	onst005	Jeroen Hendrik Arnold Maria	Onstenk	Jeroen Onstenk	1952-xx-xx						male		20e/21e Eeuw		nonfictie				
Kees Vreugdenhil	https://www.dbnl.org/auteurs/auteur.php?id=vreu010	vreu010	Cornelis	Vreugdenhil	Kees Vreugdenhil	1936-xx-xx						male		20e/21e Eeuw		nonfictie				
Charles Reznikoff	https://www.dbnl.org/auteurs/auteur.php?id=rezn002	rezn002	Charles	Reznikoff	Charles Reznikoff	1894-08-31	New York City	Verenigde Staten	1976-01-22			male		Twintigste Eeuw		buitenland				
Jules Laforgue	https://www.dbnl.org/auteurs/auteur.php?id=lafo004	lafo004	Jules	Laforgue	Jules Laforgue	1860-08-16	Montevideo	Uruguay		Parijs	Frankrijk	male		Negentiende Eeuw	fr	buitenland				
Matsuo Basho	https://www.dbnl.org/auteurs/auteur.php?id=bash001	bash001	Matsuo	Basho	Matsoeo Basjô/Matsuo Basho/Matsuo Chuemon Chuemon Munefusa/Matsuo Kinsaku/Tosei	1644-xx-xx	Ueno	Japan		Osaka	Japan	male	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	Periode 1550-1700		buitenland		letterkundige/hoogleraar/leraar/docent	2.0/2.0/2.0/2.0	2.0
Mukai Kyorai	https://www.dbnl.org/auteurs/auteur.php?id=kyor001	kyor001	Mukai	Kyorai	Mukai Kyorai	1651-xx-xx						male		Periode 1550-1700		buitenland				
Nazawa Boncho	https://www.dbnl.org/auteurs/auteur.php?id=bonc002	bonc002	Nazawa	Boncho	Nazawa Boncho/Nozowa Boncho	1640-xx-xx	Kanazawa	Japan				male	apotheker/medicus	Periode 1550-1700				medicus/apotheker	2.0/2.0	2.0
Fumikuni Nakamura	https://www.dbnl.org/auteurs/auteur.php?id=fumi001	fumi001	Fumikuni	Nakamura	Fumikuni Nakamura	16xx-xx-xx						male		Periode 1550-1700		buitenland				
Gregor Laschen	https://www.dbnl.org/auteurs/auteur.php?id=lasc004	lasc004	Gregor	Laschen	Gregor Laschen	1941-xx-xx						male	letterkundige (NIET-neerl.)/vertaler	20e/21e Eeuw		buitenland		letterkundige/vertaler	2.0/4.0	2.0
Lennart Sjögren	https://www.dbnl.org/auteurs/auteur.php?id=sjog001	sjog001	Lennart	Sjögren	Lennart Sjögren	1930-xx-xx						male		20e/21e Eeuw		buitenland				
Theodore Roethke	https://www.dbnl.org/auteurs/auteur.php?id=roet004	roet004	Theodore	Roethke	Theodore Roethke	1908-05-25	Saginaw	Verenigde Staten	1963-08-01	Bainbridge Island	Verenigde Staten	male	leraar/docent/hoogleraar	Twintigste Eeuw	en	buitenland		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Ria Loohuizen	https://www.dbnl.org/auteurs/auteur.php?id=looh001	looh001	Ria	Loohuizen	Ria Loohuizen	19xx-xx-xx						female	vertaler	20e/21e Eeuw				vertaler	4.0	4.0
Ernst Jandl	https://www.dbnl.org/auteurs/auteur.php?id=jand002	jand002	Ernst	Jandl	Ernst Jandl	1925-xx-xx						male		Twintigste Eeuw		buitenland				
Adolf Wölfli	https://www.dbnl.org/auteurs/auteur.php?id=wolf083	wolf083	Adolf	Wölfli	Adolf Wölfli	1864-xx-xx						male		19e/20e Eeuw		buitenland				
Joannes Six van Chandelier	https://www.dbnl.org/auteurs/auteur.php?id=six_003	six_003	Jan	Six van Chandelier	Joannes Six van Chandelier	1620-02-19	Amsterdam	Nederland		Amsterdam	Nederland	male	koopman/zakenman/indust.	Periode 1550-1700	nl			koopman/industrieel/zakenman	4.0/1.0/4.0	1.0
Martin Reints	https://www.dbnl.org/auteurs/auteur.php?id=rein007	rein007	Martin	Reints	Martin Reints	1950-04-05	Amsterdam	Nederland				male		20e/21e Eeuw	nl					
Johannes Bobrowski	https://www.dbnl.org/auteurs/auteur.php?id=bobr001	bobr001	Johannes Konrad Bernhard	Bobrowski	Johannes Bobrowski	1917-04-09	Tilsit	Rusland	1965-09-02	Berlijn	Duitsland	male	leraar/docent/hoogleraar	Twintigste Eeuw		buitenland		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Ted Hughes	https://www.dbnl.org/auteurs/auteur.php?id=hugh007	hugh007	Edward James	Hughes	Ted Hughes	1930-08-17	Mytholmroyd	Groot-Brittannië (en Noord-Ierland)		North Tawton	Groot-Brittannië (en Noord-Ierland)	male	leraar/docent/hoogleraar	Twintigste Eeuw		jeugdliteratuur/buitenland		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Caroline Lamarche	https://www.dbnl.org/auteurs/auteur.php?id=lama010	lama010	Caroline	Lamarche	Caroline Lamarche	1955-xx-xx	Luik	België (Wallonië)				female		20e/21e Eeuw						
Bibiana Mikkelsen	https://www.dbnl.org/auteurs/auteur.php?id=mikk004	mikk004	Bibiana	Mikkelsen	Bibiana Mikkelsen	1882-xx-xx			1964-xx-xx			female		Twintigste Eeuw						
Arnaq Grove	https://www.dbnl.org/auteurs/auteur.php?id=grov021	grov021	Arnaq	Grove	Arnaq Grove	19xx-xx-xx						female		Twintigste Eeuw						
Stine Jensen	https://www.dbnl.org/auteurs/auteur.php?id=jens007	jens007	Stine Eilskov	Jensen	Stine Jensen	1972-01-13	Hillerød	Denemarken				female		20e/21e Eeuw	nl	secundair				
Hein-Anton van der Heijden	https://www.dbnl.org/auteurs/auteur.php?id=heij063	heij063	Henricus Antonius Beatrix	van der Heijden	Hein-Anton van der Heijden	1950-xx-xx						male		20e/21e Eeuw		nonfictie				
Godert Posthumus	https://www.dbnl.org/auteurs/auteur.php?id=post057	post057	Godert	Posthumus	Godert Posthumus	1933-xx-xx						male		Twintigste Eeuw		nonfictie				
Bart Moeyaert	https://www.dbnl.org/auteurs/auteur.php?id=moey001	moey001	Bart Boudewijn Peter	Moeyaert	Bart Moeyaert	1964-06-09	Brugge	België (Vlaanderen)				male	redacteur/journalist	20e/21e Eeuw	nl	jeugdliteratuur		redacteur/journalist	2.0/2.0	2.0
Tayeb Mokeddem	https://www.dbnl.org/auteurs/auteur.php?id=moke002	moke002	Tayeb	Mokeddem	Tayeb Mokeddem	1956-xx-xx	Algerije	Algerije				male		Twintigste Eeuw						
Pierre Michon	https://www.dbnl.org/auteurs/auteur.php?id=mich090	mich090	Pierre	Michon	Pierre Michon	1945-xx-xx						male		20e/21e Eeuw		buitenland				
Rokus Hofstede	https://www.dbnl.org/auteurs/auteur.php?id=hofs015	hofs015	Rokus	Hofstede	Rokus Hofstede	1959-xx-xx						male		20e/21e Eeuw						
David Foster Wallace	https://www.dbnl.org/auteurs/auteur.php?id=wall069	wall069	David Foster	Wallace	David Foster Wallace	1962-xx-xx	Verenigde Staten	Verenigde Staten				male		20e/21e Eeuw		buitenland				
Göran Tunström	https://www.dbnl.org/auteurs/auteur.php?id=tuns001	tuns001	Göran	Tunström	Göran Tunström	1937-xx-xx		Zweden	2000-xx-xx			male		Twintigste Eeuw		buitenland				
Bertie van der Meij	https://www.dbnl.org/auteurs/auteur.php?id=meij083	meij083	Bertie	van der Meij	Bertie van der Meij	1952-xx-xx						female	vertaler	20e/21e Eeuw				vertaler	4.0	4.0
Marcel Beyer	https://www.dbnl.org/auteurs/auteur.php?id=beye039	beye039	Marcel	Beyer	Marcel Beyer	1965-11-23						male	letterkundige (NIET-neerl.)	20e/21e Eeuw		buitenland		letterkundige	2.0	2.0
Wil Hansen	https://www.dbnl.org/auteurs/auteur.php?id=hans032	hans032	Wil	Hansen	Wil Hansen	19xx-xx-xx						male	vertaler	20e/21e Eeuw				vertaler	4.0	4.0
Durs Grünbein	https://www.dbnl.org/auteurs/auteur.php?id=grun010	grun010	Durs	Grünbein	Durs Grünbein	1962-xx-xx	Dresden	Duitsland				male		20e/21e Eeuw		buitenland				
Sasbout Beukelsz. v.d. Burch	https://www.dbnl.org/auteurs/auteur.php?id=beuk022	beuk022	Sasbout	Beukelsz. v.d. Burch	Sasbout Beukelsz. v.d. Burch	1553-xx-xx			1591-04-01			male	staatsman/bestuurder/politicus	Periode 1550-1700		nonfictie		bestuurder/ambtman	1.0/1.0	1.0
P.C. Verveen	https://www.dbnl.org/auteurs/auteur.php?id=verv028	verv028	Pieter Crijnen	Verveen	P.C. Verveen	15xx-xx-xx			16xx-xx-xx			male		Periode 1550-1700		nonfictie	Goudsbloem\r			
Mirna Velcic-Canivez	https://www.dbnl.org/auteurs/auteur.php?id=velc001	velc001	Mirna	Velcic-Canivez	Mirna Velcic-Canivez							female		20e/21e Eeuw		secundair/taalkunde/buitenland				
Pim van Tol	https://www.dbnl.org/auteurs/auteur.php?id=tol_008	tol_008	Pim	van Tol	Pim van Tol	1967-xx-xx						male	vertaler	20e/21e Eeuw		secundair/nonfictie		vertaler	4.0	4.0
Armand van Assche	https://www.dbnl.org/auteurs/auteur.php?id=assc001	assc001	Armand	van Assche	Armand van Assche	1940-09-17	Aartselaar	België (Vlaanderen)	1990-08-27	Waasmunster	België (Vlaanderen)	male	leraar/docent/hoogleraar	Twintigste Eeuw	nl	secundair/jeugdliteratuur/nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Bob Baljet	https://www.dbnl.org/auteurs/auteur.php?id=balj004	balj004	Bob	Baljet	Bob Baljet	1945-09-18	Haarlem	Nederland				male	leraar/bibliothecaris/hoogleraar/archivaris/docent	20e/21e Eeuw		nonfictie		hoogleraar/archivaris/leraar/docent/bibliothecaris	2.0/4.0/2.0/2.0/4.0	2.0
K. van Berkel	https://www.dbnl.org/auteurs/auteur.php?id=berk003	berk003	Klaas	van Berkel	K. van Berkel	1953-07-24	Amstelveen	Nederland				male	leraar/archeoloog/hoogleraar/docent/historicus	20e/21e Eeuw				hoogleraar/leraar/docent/oudheidkundige/antropoloog	2.0/2.0/2.0/2.0/2.0	2.0
Marijke Besselink	https://www.dbnl.org/auteurs/auteur.php?id=bess009	bess009	Marijke	Besselink	Marijke Besselink	1961-xx-xx						female	natuurwetenschapper	Twintigste Eeuw		secundair/nonfictie		natuurwetenschapper	2.0	2.0
Fred Dijs	https://www.dbnl.org/auteurs/auteur.php?id=dijs003	dijs003	Fred	Dijs	Fred Dijs	1951-xx-xx						male		20e/21e Eeuw		nonfictie				
Otto Egberts	https://www.dbnl.org/auteurs/auteur.php?id=egbe010	egbe010	Otto Eduard Abel	Egberts	Otto Egberts/Otto Egbertsz	1949-08-11	Vlaardingen	Nederland				male	illustrator/schilder/tekenaar/beeldend kunstenaar	20e/21e Eeuw		nonfictie		tekenaar/illustrateur/beeldhouwer/schilder	4.0/4.0/4.0/9.0	4.0
Roelof van Gelder	https://www.dbnl.org/auteurs/auteur.php?id=geld028	geld028	Roelof	van Gelder	Roelof van Gelder	1948-xx-xx						male	archeoloog/historicus	20e/21e Eeuw	nl	secundair		antropoloog/oudheidkundige	2.0/2.0	2.0
Tijs Goldschmidt	https://www.dbnl.org/auteurs/auteur.php?id=gold002	gold002	Tijs	Goldschmidt	Tijs Goldschmidt	1953-01-30	Amsterdam	Nederland				male	natuurwetenschapper	20e/21e Eeuw	nl	nonfictie		natuurwetenschapper	2.0	2.0
Harm Habing	https://www.dbnl.org/auteurs/auteur.php?id=habi002	habi002	Harm Jan	Habing	Harm Habing	1937-xx-xx						male	natuurwetenschapper	20e/21e Eeuw		nonfictie		natuurwetenschapper	2.0	2.0
Hubert-Jan Henket	https://www.dbnl.org/auteurs/auteur.php?id=henk014	henk014	H.A.J.	Henket	Hubert-Jan Henket	1940-xx-xx						male	architect/bouwkundig ingenieur/bouwmeester	20e/21e Eeuw		nonfictie		bouwkundig ingenieur/architect/bouwmeester	2.0/2.0/1.0	1.0
Wim Hofman	https://www.dbnl.org/auteurs/auteur.php?id=hofm009	hofm009	Wim	Hofman	Wim Hofman	1941-02-02	Oostkapelle	Nederland				male	schilder/ambtenaar/theoloog	20e/21e Eeuw	nl	jeugdliteratuur		theoloog/ambtenaar/schilder	2.0/5.0/9.0	2.0
Frederike Huygen	https://www.dbnl.org/auteurs/auteur.php?id=huyg052	huyg052	Frederike	Huygen	Frederike Huygen	1956-xx-xx						female	kunsthistoricus/kunsthandelaar	20e/21e Eeuw		nonfictie		kunsthandelaar	4.0	4.0
Aad Kosto	https://www.dbnl.org/auteurs/auteur.php?id=kost038	kost038	Aad	Kosto	Aad Kosto	1938-xx-xx	Oegstgeest	Nederland				male	staatsman/theoloog/bestuurder/politicus	Twintigste Eeuw		nonfictie		theoloog/ambtman/bestuurder	2.0/1.0/1.0	1.0
Reinier Lucassen	https://www.dbnl.org/auteurs/auteur.php?id=luca007	luca007	Reinier	Lucassen	Lucassen/Reinier Lucassen	1939-xx-xx						male	illustrator/tekenaar/beeldend kunstenaar	20e/21e Eeuw		nonfictie		tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
Fred Pelt	https://www.dbnl.org/auteurs/auteur.php?id=pelt024	pelt024	Fred	Pelt	Fred Pelt	19xx-xx-xx						male		20e/21e Eeuw						
Marieke Sanders-ten Holte	https://www.dbnl.org/auteurs/auteur.php?id=sand140	sand140	M.J.	Sanders-ten Holte	Marieke Sanders-ten Holte	19xx-xx-xx						female		20e/21e Eeuw		nonfictie				
Gary Schwartz	https://www.dbnl.org/auteurs/auteur.php?id=schw002	schw002	Gary	Schwartz	Gary Schwartz	1940-xx-xx	New York	Verenigde Staten				male	kunsthistoricus/kunsthandelaar	20e/21e Eeuw	en	nonfictie/buitenland		kunsthandelaar	4.0	4.0
B. Sliggers	https://www.dbnl.org/auteurs/auteur.php?id=slig002	slig002	Bert C.	Sliggers	Bert Sliggers	1948-12-09	Middelburg	Nederland				male		20e/21e Eeuw		secundair/nonfictie				
Jan Tromp	https://www.dbnl.org/auteurs/auteur.php?id=trom027	trom027	Jan	Tromp	Jan Tromp	1949-xx-xx						male		Twintigste Eeuw		nonfictie				
R.P.W. Visser	https://www.dbnl.org/auteurs/auteur.php?id=viss050	viss050	Robert Paul Willem (Rob)	Visser	R.P.W. Visser	1942-xx-xx						male	leraar/natuurwetenschapper/docent/hoogleraar	20e/21e Eeuw	nl	secundair/nonfictie		natuurwetenschapper/hoogleraar/leraar/docent	2.0/2.0/2.0/2.0	2.0
Bart Vos	https://www.dbnl.org/auteurs/auteur.php?id=vos_049	vos_049	Bart	Vos	Bart Vos	1951-04-07						male		20e/21e Eeuw	nl					
J.H. van der Waals	https://www.dbnl.org/auteurs/auteur.php?id=waal042	waal042	Joan Henri	van der Waals	J.H. van der Waals	19xx-xx-xx						male		20e/21e Eeuw		nonfictie				
Aryeh Lev Stollman	https://www.dbnl.org/auteurs/auteur.php?id=stol048	stol048	Aryeh Lev	Stollman	Aryeh Lev Stollman							male	apotheker/medicus	Twintigste Eeuw		buitenland		medicus/apotheker	2.0/2.0	2.0
Babet Mossel	https://www.dbnl.org/auteurs/auteur.php?id=moss018	moss018	Babet	Mossel	Babet Mossel	1948-xx-xx						female	vertaler	Twintigste Eeuw		nonfictie		vertaler	4.0	4.0
Matthé Sjamaar	https://www.dbnl.org/auteurs/auteur.php?id=sjam001	sjam001	Matthé	Sjamaar	Matthé Sjamaar	1938-xx-xx						male	wiskundige	Twintigste Eeuw		nonfictie		doctor in de wiskunde	2.0	2.0
Huib Schwab	https://www.dbnl.org/auteurs/auteur.php?id=schw059	schw059	Huib	Schwab	Huib Schwab							male	filosoof	Twintigste Eeuw		nonfictie		doctor in de filosofie	2.0	2.0
Raj Kamal Jha	https://www.dbnl.org/auteurs/auteur.php?id=kama002	kama002	Raj	Kamal Jha	Raj Kamal Jha	1966-xx-xx						male		Twintigste Eeuw						
Jelle Noorman	https://www.dbnl.org/auteurs/auteur.php?id=noor074	noor074	Jelle	Noorman	Jelle Noorman	1964-xx-xx						male	vertaler	20e/21e Eeuw		secundair		vertaler	4.0	4.0
Gijs van Oenen	https://www.dbnl.org/auteurs/auteur.php?id=oene007	oene007	Gijs	van Oenen	Gijs van Oenen	1959-xx-xx						male	leraar/docent/hoogleraar	Twintigste Eeuw		nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Koedooder & Heilig	https://www.dbnl.org/auteurs/auteur.php?id=koed006	koed006		Koedooder & Heilig	Koedooder & Heilig	19xx-xx-xx						male								
Derek Walcott	https://www.dbnl.org/auteurs/auteur.php?id=walc006	walc006	Derek Alton	Walcott	Derek Walcott	1930-01-23	Castries	Saint Lucia	2017-03-17	Gros Islet	Saint Lucia	male		Twintigste Eeuw	en	buitenland				
Jacob ter Veldhuis	https://www.dbnl.org/auteurs/auteur.php?id=veld157	veld157	Jacob	ter Veldhuis	Jacob ter Veldhuis	1951-xx-xx						male	jongleur/musicus/minstreel	Twintigste Eeuw		nonfictie		speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
Hans Onno van den Berg	https://www.dbnl.org/auteurs/auteur.php?id=berg311	berg311	Hans Onno	van den Berg	Hans Onno van den Berg	1947-08-25			2019-xx-xx			male	leraar/kunsthandelaar/hoogleraar/kunsthistoricus/docent	Twintigste Eeuw		nonfictie		hoogleraar/kunsthandelaar/leraar/docent	2.0/4.0/2.0/2.0	2.0
Gustav Herling	https://www.dbnl.org/auteurs/auteur.php?id=herl010	herl010	Gustav	Herling	Gustav Herling/Gustaw Herling Grudzinski	1919-05-20	Kielce	Polen	2000-07-04	Napels	Italië	male		Twintigste Eeuw	pl	nonfictie				
Peter-Paul Verbeek	https://www.dbnl.org/auteurs/auteur.php?id=verb170	verb170	Peter-Paul C.C.	Verbeek	Peter-Paul Verbeek	1970-12-06						male	filosoof	20e/21e Eeuw	nl	nonfictie		doctor in de filosofie	2.0	2.0
Petran Kockelkoren	https://www.dbnl.org/auteurs/auteur.php?id=kock031	kock031	Petran	Kockelkoren	Petran Kockelkoren	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
René Puthaar	https://www.dbnl.org/auteurs/auteur.php?id=puth001	puth001	René	Puthaar	René Puthaar	1964-xx-xx						male		20e/21e Eeuw	nl					
Erwin Mortier	https://www.dbnl.org/auteurs/auteur.php?id=mort001	mort001	Erwin	Mortier	Erwin Mortier	1965-11-28	Nevele	België (Vlaanderen)				male		20e/21e Eeuw	nl					
Martin Bril	https://www.dbnl.org/auteurs/auteur.php?id=bril001	bril001	Martin	Bril	Martin Bril	1959-10-21	Utrecht	Nederland	2009-04-22	Amsterdam	Nederland	male		20e/21e Eeuw	nl					
Simon Frith	https://www.dbnl.org/auteurs/auteur.php?id=frit018	frit018	Simon	Frith	Simon Frith	19xx-xx-xx						male	leraar/docent/hoogleraar	Twintigste Eeuw		nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Pieter Cramer	https://www.dbnl.org/auteurs/auteur.php?id=cram035	cram035	Pieter	Cramer	Pieter Cramer	19xx-xx-xx						male	vertaler	Twintigste Eeuw		nonfictie		vertaler	4.0	4.0
Wouter Klootwijk	https://www.dbnl.org/auteurs/auteur.php?id=kloo008	kloo008	Wouter	Klootwijk	Ben de Cocq/Wouter Klootwijk	1945-08-09	Rhenen	Nederland				male	redacteur/journalist	20e/21e Eeuw	nl	jeugdliteratuur		redacteur/journalist	2.0/2.0	2.0
Ivan Nio	https://www.dbnl.org/auteurs/auteur.php?id=nio_001	nio_001	Ivan	Nio	Ivan Nio	1965-xx-xx						male		Twintigste Eeuw		nonfictie				
Arjan Witte	https://www.dbnl.org/auteurs/auteur.php?id=witt008	witt008	Arjan	Witte	Arjan Witte	1961-11-24	Utrecht	Nederland				male		20e/21e Eeuw	nl					
Ko Kooman	https://www.dbnl.org/auteurs/auteur.php?id=koom004	koom004	Ko	Kooman	Ko Kooman	19xx-xx-xx						male	vertaler	20e/21e Eeuw				vertaler	4.0	4.0
Peter Holvoet-Hanssen	https://www.dbnl.org/auteurs/auteur.php?id=holv001	holv001	Peter	Holvoet-Hanssen	Peter Holvoet-Hanssen	1960-04-12	Deurne	België (Vlaanderen)				male		20e/21e Eeuw	nl					
Miguel Declercq	https://www.dbnl.org/auteurs/auteur.php?id=decl001	decl001	Miguel	Declercq	Miguel Declercq	1976-xx-xx	Oostende	België (Vlaanderen)				male	illustrator/tekenaar/beeldend kunstenaar	20e/21e Eeuw				tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
Paul Valéry	https://www.dbnl.org/auteurs/auteur.php?id=vale008	vale008	Ambroise Paul Toussaint Jules	Valéry	Paul Valéry	1871-xx-xx			1945-xx-xx			male		Twintigste Eeuw	fr	buitenland				
Max Beckmann	https://www.dbnl.org/auteurs/auteur.php?id=beck068	beck068	Max	Beckmann	Max Beckmann	1884-02-12	Leipzig	Duitsland	1950-12-27	New York	Verenigde Staten	male	illustrator/schilder/tekenaar/beeldend kunstenaar	Twintigste Eeuw		nonfictie		tekenaar/illustrateur/beeldhouwer/schilder	4.0/4.0/4.0/9.0	4.0
Thomas Vaessens	https://www.dbnl.org/auteurs/auteur.php?id=vaes001	vaes001	Thomas	Vaessens	Thomas Vaessens	1967-11-17	Maastricht	Nederland				male	leraar/docent/hoogleraar	20e/21e Eeuw	nl	secundair/limburg		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
José van Dijck	https://www.dbnl.org/auteurs/auteur.php?id=dijc032	dijc032	José	van Dijck	José van Dijck	19xx-xx-xx						female	leraar/docent/hoogleraar	Twintigste Eeuw		nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Brady Udall	https://www.dbnl.org/auteurs/auteur.php?id=udal001	udal001	Brady	Udall	Brady Udall	19xx-xx-xx						male		Twintigste Eeuw		buitenland				
Bert Meelker	https://www.dbnl.org/auteurs/auteur.php?id=meel009	meel009	Bert	Meelker	Bert Meelker	19xx-xx-xx						male	vertaler	Twintigste Eeuw		nonfictie		vertaler	4.0	4.0
Guus Middag	https://www.dbnl.org/auteurs/auteur.php?id=midd001	midd001	Guus	Middag	Guus Middag	1959-xx-xx	Haaksbergen	Nederland				male	vertaler	20e/21e Eeuw	nl	secundair		vertaler	4.0	4.0
Robert Gernhardt	https://www.dbnl.org/auteurs/auteur.php?id=gern003	gern003	Robert	Gernhardt	Robert Gernhardt	1937-xx-xx	Duitsland	Duitsland	2006-xx-xx			male		Twintigste Eeuw		buitenland				
Gerrie Bruil	https://www.dbnl.org/auteurs/auteur.php?id=brui130	brui130	Gerrie	Bruil	Gerrie Bruil	19xx-xx-xx						female	vertaler	Twintigste Eeuw		nonfictie		vertaler	4.0	4.0
Joost Zwagerman	https://www.dbnl.org/auteurs/auteur.php?id=zwag003	zwag003	Joost	Zwagerman	Joost Zwagerman	1963-11-18	Alkmaar	Nederland	2015-09-08	Haarlem	Nederland	male		20e/21e Eeuw	nl					
Anton van de Wardt	https://www.dbnl.org/auteurs/auteur.php?id=ward013	ward013	Anton	van de Wardt	Anton van de Wardt	1939-xx-xx						male		Twintigste Eeuw						
Jonathan Treitel	https://www.dbnl.org/auteurs/auteur.php?id=trei002	trei002	Jonathan	Treitel	Jonathan Treitel	19xx-xx-xx	Groot-Brittannië	Groot-Brittannië (en Noord-Ierland)				male		Twintigste Eeuw		buitenland				
M.E. Belpaire	https://www.dbnl.org/auteurs/auteur.php?id=belp001	belp001	M.E.	Belpaire	M.E. Belpaire	1853-01-31	Antwerpen	België (Vlaanderen)	1948-06-09	Antwerpen	België (Vlaanderen)	female		19e/20e Eeuw	nl	jeugdliteratuur				
Paul Alberdingk Thijm	https://www.dbnl.org/auteurs/auteur.php?id=albe004	albe004	Petrus Paulus	Alberdingk Thijm	Paul Alberdingk Thijm	1827-10-21	Amsterdam	Nederland	1904-02-01	Kessel	België (Vlaanderen)	male	archeoloog/historicus	Negentiende Eeuw	nl			antropoloog/oudheidkundige	2.0/2.0	2.0
Jan Lodewijk Mercelis	https://www.dbnl.org/auteurs/auteur.php?id=merc007	merc007	Jan Lodewijk	Mercelis	Jan Lodewijk Mercelis/Lodewijk Mercelis	1857-01-04	Wechelderzande	België (Vlaanderen)	1918-02-22	Strombeek Bever	België (Vlaanderen)	male	rk-geestelijke/kloosterling	19e/20e Eeuw	nl	jeugdliteratuur		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
